Position, Company, Location, URL
데이터분석가 신입/경력, 어니컴, 서울 용산구, https://kr.indeed.com/rc/clk?jk=d4fe66a66e4604ae&bb=fhmm51IyQueWRngxp_HXkFP9Plf8L3lZpbpABByksfMPVEifO3tU-vQ13Vb1qaiW&xkcb=SoCT67M3H2Eb812SHZ0IbzkdCdPP&fccid=5c6ed722e9346a08&vjs=3
Python 백엔드 개발 경력자, 블록스퀘어서울, 서울 송파구, https://kr.indeed.com/rc/clk?jk=ee4ea495cefe2af8&bb=HVYU39kOGRH6raoYVy1DV5IXxBP89KlQhiBxxvJY414kfYVN-wmay4fvwW36jjx9&xkcb=SoA067M3H2Eb80WSHZ0KbzkdCdPP&fccid=72348558bd9456ba&vjs=3
C/C++  Python 개발자 (보충역), 모빌테크, 서울 서초구, https://kr.indeed.com/rc/clk?jk=af50d52066bfd50c&bb=HVYU39kOGRGXtptPQOxlQEfnSfYKmxspPJYcvJnZbtZhZrL7_Ldc0czWOiFptG2h&xkcb=SoCT67M3H2Eb80WSHZ0PbzkdCdPP&fccid=b5cf24921581ae1e&vjs=3
Member of Technical Staff - Services, Wind River, 서울, https://kr.indeed.com/rc/clk?jk=6a24b54a294e4fd5&bb=h6ykcebvt1YNYKG4PYFcgkC-mT3qPYQ_TzqVvX8B6TQiFk6-TF-MKL2a98sMyvFR&xkcb=SoBx67M3H2Eb802SHZ0KbzkdCdPP&fccid=30c6be3855bc8a7c&vjs=3
개발자 - Python 서버 프로그램 개발, 바인테크, 서울 송파구, https://kr.indeed.com/rc/clk?jk=4cc15c26097421c5&bb=h6ykcebvt1bxmomjiS-06VOWFf7ZSVDEZQafZajTYdr1UENJ08pUaVWapDPbb8FF&xkcb=SoBY67M3H2Eb802SHZ0IbzkdCdPP&fccid=aef44811e748bebe&vjs=3
[데브시스터즈] DevOps Engineer (신입), 데브시스터즈, 서울 강남구, https://kr.indeed.com/rc/clk?jk=3058f7280a2e6644&bb=h6ykcebvt1akrlBAkPNT92h3mvA2ngX8C_2SvwABYPFuVCpyLMyErNrvCLhvUgae&xkcb=SoBi67M3H2Eb802SHZ0ObzkdCdPP&fccid=58a9a803698a0afd&vjs=3
++렉스코드 백엔드 개발자 ++, 렉스코드, 서울 서초구, https://kr.indeed.com/rc/clk?jk=9121c5aa8075bfa3&bb=jDym7AJkP7QJeB7rNPplhW4Qfklu5oW1uPLbIkjXnK81JjxL8WEidwGCcFAJfFGV&xkcb=SoC167M3H2Eb83WSHZ0JbzkdCdPP&fccid=005cc3e287692b67&vjs=3
SLAM Engineer, Luxolis, 서울, https://kr.indeed.com/rc/clk?jk=236bef0c966efe55&bb=FvdNgmPQvo4lIS2QAnpsf7r_WUsQIJrCiSQltaLOuQUQ2eJzBgjWfjCXbLeijSih&xkcb=SoDZ67M3H2Eb832SHZ0LbzkdCdPP&fccid=df397b6d9c97b32b&cmp=LUXOLIS&ti=Engineer&vjs=3
Data Analytics/Engineering 신입사원 채용, SK CC, 성남 정자동, https://kr.indeed.com/rc/clk?jk=78be1c05db61224b&bb=FvdNgmPQvo6172uO-t5q6HCvjD7RmZu-1hHhOGC6neMJeANzZ9u6ZPMTkd-qGluP&xkcb=SoDw67M3H2Eb832SHZ0JbzkdCdPP&fccid=36b9d5dbe99227ff&vjs=3
디지털 포렌식 정규전환형 인턴, EY, 서울 영등포구, https://kr.indeed.com/rc/clk?jk=ebb8d253418bdac5&bb=FvdNgmPQvo459QjHrRIfMVijlOLrMYENrHTyHX9tCah4wiGZAZzgta-ijwFUFf_5&xkcb=SoDK67M3H2Eb832SHZ0PbzkdCdPP&fccid=1544766d4c2915b0&vjs=3
[에이블리] 소프트웨어 엔지니어 인턴, 서울여자대학교, 서울 노원구, https://kr.indeed.com/rc/clk?jk=e9c643b14eb064f6&bb=Vm1BXIF1EIfWUa_R9Iq1EKb-Qs7BChXaB3zeQSrGvGt0cqwSV4v1hIEARRA6uvui&xkcb=SoDj67M3H2Eb82WSHZ0KbzkdCdPP&fccid=840dc776358ce5ef&vjs=3
3D Graphics Engineer, Luxolis, 서울, https://kr.indeed.com/rc/clk?jk=88eaeb1267988882&bb=Vm1BXIF1EIf_BuQIUEf7wUSAMdi869QkufRgFN84okc8G5wdMx7t4JGYch69Wt4T&xkcb=SoDK67M3H2Eb82WSHZ0IbzkdCdPP&fccid=df397b6d9c97b32b&cmp=LUXOLIS&ti=3d+Graphics+Developer&vjs=3
[홈페이지지원] 2023년 신입·경력 중, 사이냅소프트, 서울 강서구, https://kr.indeed.com/rc/clk?jk=c0cd7991573c901d&bb=Vm1BXIF1EIeVsZyrqWJyG0ftkOs_zzR51XWc-3y35bXyLFgpLw8paNnMEZvmeFAK&xkcb=SoDw67M3H2Eb82WSHZ0ObzkdCdPP&fccid=0673ca84bc014599&vjs=3
백엔드 개발자(인턴십), 액스, 서울 서초구, https://kr.indeed.com/rc/clk?jk=b7223c792bfcbcd4&bb=y9bYFnKr4TE9Ls7mDImt7v1Di5ip0lB1cGmLzqUC8qhP2KJ6D285rS7SDZPX_5ny&xkcb=SoCE67M3H2Ebio2dzR0NbzkdCdPP&fccid=5013eca338141e7d&vjs=3
퀀트운용센터 (사원-대리급), 신한자산운용, 대한민국, https://kr.indeed.com/rc/clk?jk=95e110350e419962&bb=asD0tT92imHUogS9PAnFn_Dm1C2PInTwX8DTLSozNYixn1mMGRo7bwqIlBeXyY4k&xkcb=SoBT67M3H2EbirWdzR0KbzkdCdPP&fccid=d93d518e8dbb7037&vjs=3
Data Analyst Intern, Kenvue, 서울, https://kr.indeed.com/rc/clk?jk=f7589be697ed9e53&bb=asD0tT92imEN3J6zMFLvF2YGUcAQ4HoG3K_tJ_LmNi_9uqLxXz7Cw1AW-9g_LMXk&xkcb=SoD067M3H2EbirWdzR0PbzkdCdPP&fccid=ed22db47960d00a3&vjs=3
딥러닝 AI 개발 연구원, 베이리스, 성남 수정구, https://kr.indeed.com/rc/clk?jk=87309d3ff40ead61&bb=Z2Y3a2rkTRldawxDr1ERlBTX7kl6nDZAsnub747Cy3t_lhy4g_M0uRN2VNfvJMac&xkcb=SoCi67M3H2Ebir2dzR0LbzkdCdPP&fccid=ce871e9e4a9f430a&vjs=3
ELS 퀀트/트레이딩 경력 채용, 한화그룹, 서울, https://kr.indeed.com/rc/clk?jk=46d3f8ca95842c38&bb=Z2Y3a2rkTRnLAc18EHQNdYpYyZKfZxC5yyYI50KvIbtd-uUVVnk4Lulol6GNDt87&xkcb=SoCL67M3H2Ebir2dzR0JbzkdCdPP&fccid=bd0dc1817223394f&vjs=3
Quantitative Researcher, WorldQuant, 서울, https://kr.indeed.com/rc/clk?jk=5e63fa757013fa24&bb=dWc2ryWI7UPaUMOhuB6aGwzgadHPKV2yN5Hk6F-XdFHBPBbRHEWOZ8e1WBk3UbEB&xkcb=SoBW67M3H2Ebir2dzR0dbzkdCdPP&fccid=08487f979320ebae&vjs=3
Language and Generative AI 연구개발, CJ올리브네트웍스, 성남 서현동, https://kr.indeed.com/rc/clk?jk=d935c0d5d74ba1cd&bb=dWc2ryWI7UOyRWwtHSTrkQX_zfq_T7VakfbMimeKRdK0MdHNT3ws2VmxycSnJI-7&xkcb=SoCY67M3H2EbiqWdzR0KbzkdCdPP&fccid=f9d7b79c30512a85&vjs=3
[신입] SW개발 엔지니어, 빔피어스, 서울 서초구, https://kr.indeed.com/rc/clk?jk=e6bf09802e2b96f9&bb=dWc2ryWI7UPReG1ASOwx825gGDUXHsHMnAuOk4J_tP_xW8Q54FImKUS4A7_1w1Ro&xkcb=SoA_67M3H2EbiqWdzR0PbzkdCdPP&fccid=81731418366e952e&vjs=3
Associate Solutions Architect Internship 채용연계형 인턴, Amazon Web Services Korea LLC, 서울, https://kr.indeed.com/rc/clk?jk=e4dbc283b2f59bef&bb=dWc2ryWI7UONQ-zzIBD_rS32lUJfT4JaPpoR7zxdzUboh5fQb_KmEMsHgJ1-vXT4&xkcb=SoAW67M3H2EbiqWdzR0NbzkdCdPP&fccid=fe2d21eef233e94a&vjs=3
[로버스트자산운용] 시스템 개발팀 정규직, 로버스트자산운용, 서울 영등포구, https://kr.indeed.com/rc/clk?jk=dea06858029e2686&bb=C1oYlBeAEMUlPnXrmBJCO3_6VA09JBiqdfaI8ieH00ArSgjpaotWgGQPPTubPClK&xkcb=SoBA67M3H2Ebiq2dzR0JbzkdCdPP&fccid=36ecedbe2a23aad6&vjs=3
Industrial Engineer, 보잉코리아, 서울 강남구, https://kr.indeed.com/rc/clk?jk=87ed24d3ce42b142&bb=C1oYlBeAEMV4bUT5Mf4QiQc5HuGuni6hE31hen3mDHRFXDnqKKF2bvXJ1ycT8r9g&xkcb=SoB667M3H2Ebiq2dzR0PbzkdCdPP&fccid=e9f9929a39dc8bd4&vjs=3
[인텔리전스랩스] 데이터 분석가 (개인화 콘텐츠), Nexon, 경기도 성남, https://kr.indeed.com/rc/clk?jk=46807d2378f3ec7c&bb=hkrxQszu1pJ1M66YA5Ada3MLwQ1o923NfPkqNxltyt7kv4IQE8HWUlVIdY1RWvue&xkcb=SoAE67M3H2EbiVWdzR0KbzkdCdPP&fccid=aba87288e4cc3687&vjs=3
Python 분석 인원 정규직 채용, (주)스마트모빌러티 관심기업, 서울 휘경동, https://kr.indeed.com/rc/clk?jk=5e761f105a377ae8&bb=hkrxQszu1pKH2nCCMM70H6r5pqgzJhCK5nz-ZEcnW3ppVkXdsnAMk6LNxy-S5tJT&xkcb=SoAt67M3H2EbiVWdzR0IbzkdCdPP&fccid=307824036b9dcb17&vjs=3
IFRS17 Analyst, RGA, 서울, https://kr.indeed.com/rc/clk?jk=94e016cfb6c94df4&bb=hkrxQszu1pIl-0sSrtNuM2JigYU_SB23HCRxZku-D7FYkz-wvnzJdIunUPMCcUE3&xkcb=SoAX67M3H2EbiVWdzR0ObzkdCdPP&fccid=47a010668bfbe4c6&vjs=3
Digital Intern, Assembly, 서울, https://kr.indeed.com/rc/clk?jk=814fa3f80e49870a&bb=Z9eTpOgtDM8Lk3xHMuvPHcZo8tdpaWki0o_VVAbq4CIOT-oiRRNHO-1t-1vaO7YX&xkcb=SoD167M3H2EbiV2dzR0LbzkdCdPP&fccid=b67ebe83591248fb&vjs=3
Python 백엔드 개발, 지엔에이컴퍼니, 서울 서초구, https://kr.indeed.com/rc/clk?jk=e83e5c66a3495043&bb=Iy_At3Xz-Eg35C-fovwZR9HOgpLcWR_2gAO6q8B-QR3H3RYRtM4oxXXxA-HThFLl&xkcb=SoCk67M3H2EbeVWdzR0LbzkdCdPP&fccid=61c10ba9583776b5&vjs=3
2023년 하반기 부문별 [가상현실 엔지니어/AI 엔지니어], 실리콘스튜디오코리아, 서울 강남구, https://kr.indeed.com/rc/clk?jk=6d1e4a3b652681b9&bb=yW2vcBFMdKYQcQhET6bwvoc9eBkPK_3JDMTloTRX0i5gU4u79DKSZtDpIFBRz8uw&xkcb=SoBV67M3H2EbeV2dzR0KbzkdCdPP&fccid=b6b35101788195f6&vjs=3
딥러닝 연구개발자 (서울근무), 딥인스펙션, 서울 송파구, https://kr.indeed.com/rc/clk?jk=a3aaffa6ff1225b2&bb=yW2vcBFMdKZe-Jdo7u0hHwTVleqkal0pO1lqR3o5_Ao3a9fBpu9OKieMGnlzor69&xkcb=SoB867M3H2EbeV2dzR0IbzkdCdPP&fccid=c5de7e4571bb1a5a&vjs=3
[(주)소프트랩스] 백엔드/ 프론트엔드/ 기획자 / 웹 개발자/ 웹 앱 기획자, 소프트랩스, 서울 금천구, https://kr.indeed.com/rc/clk?jk=16e605c508eff98a&bb=hbc2GR4gP1nlqeA4csKAyonHTSe5m8gEUDAxPPgBRyXkmRTghYWHmQgsSxfXgJKR&xkcb=SoBG67M3H2EbeV2dzR0ObzkdCdPP&fccid=5693dea15fa48296&vjs=3
AI 연구개발자 전문연구요원(병역특례), 라이트비전, 서울 성동구, https://kr.indeed.com/rc/clk?jk=c69e20b8ba094f2b&bb=hbc2GR4gP1l-U8dJJb8J_-wLV7z9cgYbIoVlkrE3ciZlxV0tsUZt_lMbpZauGZr_&xkcb=SoDb67M3H2EbeUWdzR0KbzkdCdPP&fccid=e391d8e930358bac&vjs=3
서비스로봇 SW 엔지니어, 다민로봇, 서울 서초구, https://kr.indeed.com/rc/clk?jk=065ccd916d4aeb6e&bb=hbc2GR4gP1mojgWwXw6NDtEVqoLnTKNDxeTwYOR_t5vEwfXJAVBVOWO-IEZkPTE1&xkcb=SoDy67M3H2EbeUWdzR0IbzkdCdPP&fccid=d4dc917dde36f183&vjs=3
[인텔리전스랩스] UX Researcher/UX 분석가 (게임 경험 분석), Nexon, 경기도 성남, https://kr.indeed.com/rc/clk?jk=256d35cc840b890e&bb=bUIIkw_RAP3dQrBJ1MnIqgrxPYJ82Mi9T9LTG8Pevpk9qsXMRI096TWxJSHUCFW2&xkcb=SoCe67M3H2EbeU2dzR0KbzkdCdPP&fccid=aba87288e4cc3687&vjs=3
대기업계열 모빌리티 데이터 분석 모델 개발 (신입/경력), 경연파트너스, 서울 용산구, https://kr.indeed.com/rc/clk?jk=fc4ce8e7031b4ab0&bb=bUIIkw_RAP1LXQofpSk8YA9DjMEJ6dzvOkrKqngO7OM_qW32Xfck0_mckzyoxE6F&xkcb=SoC367M3H2EbeU2dzR0IbzkdCdPP&fccid=0f76eb1d9acd6c10&vjs=3
백엔드/서버개발자 (신입/경력), 엔에스원소프트, 서울 강남구, https://kr.indeed.com/rc/clk?jk=21ff1c456cede624&bb=bUIIkw_RAP0mZRxbArtO2gMxN_NA7kDjNFxNNiN3PH2vzl9vy7lO_i4TKMLXezDW&xkcb=SoCN67M3H2EbeU2dzR0ObzkdCdPP&fccid=4cb5f3678194f0b7&vjs=3
[해외메이플] 게임 프로그래머, Nexon, 경기도 성남, https://kr.indeed.com/rc/clk?jk=02473e9ca09203b6&bb=oOwLm0TmFIoGFMM_gu9s03cAwMXWTADhen7Jdm9YnX5pdva9bfE-LeSyDOz2Gizv&xkcb=SoDH67M3H2EbeXWdzR0KbzkdCdPP&fccid=aba87288e4cc3687&vjs=3
[전문연구요원] 의료영상 리서치 엔지니어 정규직, 메디픽셀, 서울 마포구, https://kr.indeed.com/rc/clk?jk=3544467a7b64376f&bb=oOwLm0TmFIp4Ji4vl7Mm2FkubYWFWQ92CqVVIcNbagE0C29jfvonCTD9cpwdPQ4Q&xkcb=SoDu67M3H2EbeXWdzR0IbzkdCdPP&fccid=aba88c202493b8a5&vjs=3
Strategic Data Analyst, JTI - Japan Tobacco International, 서울, https://kr.indeed.com/rc/clk?jk=1b202e41da8ab4b4&bb=oOwLm0TmFIqaQJYZg620wZBOzHo-7g7t6aYL9IfiejJs_GB3FY_jBmWtFZ0_JAfk&xkcb=SoDU67M3H2EbeXWdzR0ObzkdCdPP&fccid=09dc3054e100db9a&vjs=3
[MUSMA] AI(Edge) 개발자 경력직 (서울 근무), 무스마, 서울, https://kr.indeed.com/rc/clk?jk=978efd465732f600&bb=gTJhr8SzMt5U9arr0MdcctF3vObBxQzU8Ak56PwN3oneT-13Rgga32tw-B-_Kcgf&xkcb=SoD967M3H2EbeXWdzR0MbzkdCdPP&fccid=6950344543e23f98&vjs=3
Associate AI/ML Software Engineer, BOEING, 서울, https://kr.indeed.com/rc/clk?jk=ecf535d2a2ad0ba9&bb=gTJhr8SzMt7jPz8TvWBLxDJUfOJUAF-RDS3KfFHv_bqgdhuYtHSU_1KESKdCj7xf&xkcb=SoCC67M3H2EbeX2dzR0KbzkdCdPP&fccid=edae4285faf6c2f0&vjs=3
